date,first,second,firstEstimate,secondEstimate,immunityEstimate,immunity
13/12/2020,86215,0,0,0,0,0
14/12/2020,170155,0,0,0,0,0
15/12/2020,254096,0,0,0,0,0
16/12/2020,338036,0,0,0,0,0
17/12/2020,421977,0,0,0,0,0
18/12/2020,505917,0,0,0,0,0
19/12/2020,589858,0,0,0,0,0
20/12/2020,673798,0,0,0,0,0
21/12/2020,720817,0,0,0,0,0
22/12/2020,767836,0,0,0,0,0
23/12/2020,814855,0,0,0,0,0
24/12/2020,861873,0,0,0,0,0
25/12/2020,908892,0,0,0,0,0
26/12/2020,955911,0,0,0,0,0
27/12/2020,1002930,0,0,0,0,0
28/12/2020,1056368,0,0,0,0,0
29/12/2020,1109805,0,0,0,0,0
30/12/2020,1163243,0,0,0,0,0
31/12/2020,1216681,0,0,0,0,0
01/01/2021,1270119,0,0,0,0,0
02/01/2021,1323556,0,0,0,77594,77594
03/01/2021,1376994,21905,0,0,153140,153140
04/01/2021,1508826,70688,0,0,228686,228686
05/01/2021,1640658,119471,0,0,304233,304233
06/01/2021,1772489,168253,0,0,379779,379779
07/01/2021,1904321,217036,0,0,455325,455325
08/01/2021,2036153,265819,0,0,530872,530872
09/01/2021,2167985,314602,0,0,606418,606418
10/01/2021,2299816,363384,0,0,648735,648735
11/01/2021,2431648,412167,2431648,412167,691052,691052
12/01/2021,2639309,428232,2639309,428232,733369,733369
13/01/2021,2918252,437977,2918252,437977,775686,775686
14/01/2021,3234946,443234,3234946,443234,818003,818003
15/01/2021,3559179,447261,3559179,447261,860320,860320
16/01/2021,3837094,449736,3837094,449736,902637,902637
17/01/2021,4062501,452301,4062501,452301,950731,950731
18/01/2021,4266577,456866,4266577,456866,998825,998825
19/01/2021,4609740,460625,4609740,460625,1046919,1046919
20/01/2021,4973248,464036,4973248,464036,1095013,1095013
21/01/2021,5383103,466796,5383103,466796,1143107,1143107
22/01/2021,5861351,468617,5861351,468617,1191201,1191201
23/01/2021,6353321,469660,6353321,469660,1240390,1240390
24/01/2021,6573570,470478,6573570,470478,1361478,1361478
25/01/2021,6853372,472446,6853372,472446,1482565,1482565
26/01/2021,7164387,474156,7164387,474156,1603653,1603653
27/01/2021,7447199,476485,7447199,476485,1724741,1724741
28/01/2021,7891184,478254,7891184,478254,1845828,1845828
29/01/2021,8378940,480432,8378940,480432,1966916,1966916
30/01/2021,8977329,491053,8977329,491053,2088004,2088004
31/01/2021,9296367,494209,9296367,494209,2209092,2209092
01/02/2021,9646715,496796,9646715,496796,2209092,2209092
02/02/2021,10021471,498962,10021471,498962,2396790,2396790
03/02/2021,10490487,501957,10490487,501957,2648326,2648326
04/02/2021,10971047,505993,10971047,505993,2933613,2933613
05/02/2021,11465210,510057,11465210,510057,3225624,3225624
06/02/2021,12014288,511447,12014288,511447,3475871,3475871
07/02/2021,12294006,512581,12294006,512581,3678866,3678866
08/02/2021,12646486,516392,12646486,516392,3862763,3862763
09/02/2021,13058298,519553,13058298,519553,4171797,4171797
10/02/2021,13509108,524447,13509108,524447,4499125,4499125
11/02/2021,14012224,530094,14012224,530094,4868133,4868133
12/02/2021,14556827,534869,14556827,534869,5298647,5298647
13/02/2021,15062189,537715,15062189,537715,5741472,5741472
14/02/2021,0,0,15527205,550638,5939737,#N/A
15/02/2021,0,0,15998829,563560,6191657,#N/A
16/02/2021,0,0,16477060,576483,6471656,#N/A
17/02/2021,0,0,16961899,589406,6726303,#N/A
18/02/2021,0,0,17448976,602328,7125978,#N/A
19/02/2021,0,0,17936054,615251,7565068,#N/A
20/02/2021,0,0,18423131,628173,8104149,#N/A
21/02/2021,0,0,18910209,641096,8391441,#N/A
22/02/2021,0,0,19397286,654019,8706883,#N/A
23/02/2021,0,0,19884363,666941,9044272,#N/A
24/02/2021,0,0,20371441,679864,9466536,#N/A
